trinID,neglogpval
TRINITY_DN11349_c0_g1_TRINITY_DN11349_c0_g1_i1_g.995_m.995,0.156734391
TRINITY_DN11368_c0_g1_TRINITY_DN11368_c0_g1_i1_g.996_m.996,0.366956388
TRINITY_DN1141_c0_g1_TRINITY_DN1141_c0_g1_i1_g.111_m.111,0.72277026
TRINITY_DN11424_c0_g2_TRINITY_DN11424_c0_g2_i1_g.997_m.997,0.253493008
TRINITY_DN11432_c0_g2_TRINITY_DN11432_c0_g2_i1_g.999_m.999,0.978261352
TRINITY_DN11445_c0_g1_TRINITY_DN11445_c0_g1_i1_g.1000_m.1000,0.067219725
TRINITY_DN11594_c0_g1_TRINITY_DN11594_c0_g1_i1_g.1006_m.1006,0.045526298
TRINITY_DN11595_c0_g1_TRINITY_DN11595_c0_g1_i1_g.1007_m.1007,1.049522215
TRINITY_DN11601_c0_g1_TRINITY_DN11601_c0_g1_i1_g.1008_m.1008,0.252947304
TRINITY_DN11630_c0_g1_TRINITY_DN11630_c0_g1_i1_g.1010_m.1010,0.070222293
TRINITY_DN11632_c0_g1_TRINITY_DN11632_c0_g1_i1_g.1011_m.1011,0.1155146
TRINITY_DN11639_c0_g1_TRINITY_DN11639_c0_g1_i1_g.1012_m.1012,0.085713589
TRINITY_DN11669_c0_g1_TRINITY_DN11669_c0_g1_i1_g.1013_m.1013,1.894984339
TRINITY_DN11689_c0_g1_TRINITY_DN11689_c0_g1_i2_g.1014_m.1014,2.003773038
TRINITY_DN11716_c0_g1_TRINITY_DN11716_c0_g1_i1_g.1015_m.1015,0.125842916
TRINITY_DN11721_c0_g1_TRINITY_DN11721_c0_g1_i1_g.1016_m.1016,0.044139101
TRINITY_DN11770_c0_g1_TRINITY_DN11770_c0_g1_i2_g.1017_m.1017,1.948618631
TRINITY_DN11798_c0_g1_TRINITY_DN11798_c0_g1_i1_g.1018_m.1018,0.300771871
TRINITY_DN11816_c0_g1_TRINITY_DN11816_c0_g1_i1_g.1019_m.1019,0.145118262
TRINITY_DN11821_c0_g1_TRINITY_DN11821_c0_g1_i1_g.1020_m.1020,0.086760433
TRINITY_DN11833_c0_g1_TRINITY_DN11833_c0_g1_i1_g.1023_m.1023,0.419116153
TRINITY_DN11842_c0_g1_TRINITY_DN11842_c0_g1_i1_g.1024_m.1024,0.090656735
TRINITY_DN11853_c0_g1_TRINITY_DN11853_c0_g1_i1_g.1025_m.1025,0.446610039
TRINITY_DN11860_c0_g2_TRINITY_DN11860_c0_g2_i1_g.1026_m.1026,0.054103388
TRINITY_DN1188_c0_g1_TRINITY_DN1188_c0_g1_i1_g.112_m.112,0.035971871
TRINITY_DN11895_c0_g1_TRINITY_DN11895_c0_g1_i1_g.1027_m.1027,3.749361996
TRINITY_DN11913_c0_g1_TRINITY_DN11913_c0_g1_i1_g.1029_m.1029,2.196604124
TRINITY_DN11916_c0_g1_TRINITY_DN11916_c0_g1_i1_g.1030_m.1030,0.01456853
TRINITY_DN11924_c0_g1_TRINITY_DN11924_c0_g1_i1_g.1031_m.1031,0.048383767
TRINITY_DN11936_c0_g1_TRINITY_DN11936_c0_g1_i1_g.1033_m.1033,1.408053782
TRINITY_DN11961_c0_g1_TRINITY_DN11961_c0_g1_i1_g.1034_m.1034,0.314578241
TRINITY_DN11962_c0_g1_TRINITY_DN11962_c0_g1_i1_g.1035_m.1035,0.934117307
TRINITY_DN11975_c0_g1_TRINITY_DN11975_c0_g1_i1_g.1038_m.1038,0.375386596
TRINITY_DN11985_c0_g1_TRINITY_DN11985_c0_g1_i1_g.1040_m.1040,2.698374353
TRINITY_DN12014_c0_g1_TRINITY_DN12014_c0_g1_i1_g.1041_m.1041,0.310437823
TRINITY_DN12015_c0_g1_TRINITY_DN12015_c0_g1_i1_g.1042_m.1042,0.02409257
TRINITY_DN12034_c0_g1_TRINITY_DN12034_c0_g1_i1_g.1043_m.1043,0.242336885
TRINITY_DN12039_c0_g1_TRINITY_DN12039_c0_g1_i1_g.1044_m.1044,0.06479878
TRINITY_DN12040_c0_g1_TRINITY_DN12040_c0_g1_i1_g.1046_m.1046,0.189271206
TRINITY_DN12086_c0_g1_TRINITY_DN12086_c0_g1_i1_g.1051_m.1051,1.611316159
TRINITY_DN12102_c0_g1_TRINITY_DN12102_c0_g1_i1_g.1053_m.1053,0.054720853
TRINITY_DN12112_c0_g1_TRINITY_DN12112_c0_g1_i2_g.1054_m.1054,0.178838144
TRINITY_DN12136_c0_g1_TRINITY_DN12136_c0_g1_i1_g.1055_m.1055,0.069871957
TRINITY_DN12141_c0_g1_TRINITY_DN12141_c0_g1_i1_g.1058_m.1058,0.491461564
TRINITY_DN12148_c0_g2_TRINITY_DN12148_c0_g2_i1_g.1059_m.1059,0.822563952
TRINITY_DN12155_c0_g1_TRINITY_DN12155_c0_g1_i1_g.1061_m.1061,1.575202663
TRINITY_DN12159_c0_g1_TRINITY_DN12159_c0_g1_i1_g.1062_m.1062,0.011987693
TRINITY_DN1220_c0_g1_TRINITY_DN1220_c0_g1_i1_g.115_m.115,0.077094646
TRINITY_DN12215_c0_g1_TRINITY_DN12215_c0_g1_i1_g.1067_m.1067,0.358578419
TRINITY_DN12228_c0_g1_TRINITY_DN12228_c0_g1_i1_g.1068_m.1068,0.519613729
TRINITY_DN12230_c0_g1_TRINITY_DN12230_c0_g1_i1_g.1070_m.1070,0.023673736
TRINITY_DN12241_c0_g1_TRINITY_DN12241_c0_g1_i1_g.1071_m.1071,0.315473185
TRINITY_DN12243_c0_g1_TRINITY_DN12243_c0_g1_i1_g.1072_m.1072,0.267381036
TRINITY_DN12283_c0_g1_TRINITY_DN12283_c0_g1_i1_g.1073_m.1073,0.159954479
TRINITY_DN12289_c0_g1_TRINITY_DN12289_c0_g1_i1_g.1074_m.1074,0.000127083
TRINITY_DN1229_c0_g1_TRINITY_DN1229_c0_g1_i1_g.116_m.116,0.007796314
TRINITY_DN12297_c0_g1_TRINITY_DN12297_c0_g1_i1_g.1075_m.1075,3.693156389
TRINITY_DN1234_c0_g1_TRINITY_DN1234_c0_g1_i1_g.117_m.117,0.00558283
TRINITY_DN12348_c0_g1_TRINITY_DN12348_c0_g1_i1_g.1076_m.1076,0.378278877
TRINITY_DN12350_c0_g1_TRINITY_DN12350_c0_g1_i1_g.1077_m.1077,0.300369185
TRINITY_DN12357_c0_g2_TRINITY_DN12357_c0_g2_i1_g.1078_m.1078,3.789345395
TRINITY_DN12377_c0_g1_TRINITY_DN12377_c0_g1_i1_g.1079_m.1079,0.293973113
TRINITY_DN12386_c0_g1_TRINITY_DN12386_c0_g1_i1_g.1080_m.1080,1.171763933
TRINITY_DN12416_c0_g1_TRINITY_DN12416_c0_g1_i1_g.1081_m.1081,1.140041027
TRINITY_DN1242_c0_g1_TRINITY_DN1242_c0_g1_i1_g.118_m.118,1.061128197
